X1,X2,X3,X4,X5,X6
8,0.87801,-0.1,-0.5,0.065835,53.531
10,0.87906,-0.1,-0.5,0.047256,88.685
12,0.87964,-0.1,-0.5,0.039162,160.08
14,0.87988,-0.1,-0.5,0.035455,135.53
2,0.94457,-0.1,-0.5,0.096215,26.715
4,0.9172,-0.1,-0.5,0.093866,30.554
6,0.88926,-0.1,-0.5,0.078541,45.69
8,0.88931,-0.1,-0.5,0.059348,60.814
10,0.88815,-0.1,-0.5,0.044846,98.423
12,0.88847,-0.1,-0.5,0.037678,134.64
14,0.88761,-0.1,-0.5,0.033181,158.26
2,0.93529,-0.1,-0.5,0.1131,21.406
4,0.90409,-0.1,-0.5,0.10669,23.099
6,0.89986,-0.1,-0.5,0.070647,44.438
8,0.89859,-0.1,-0.5,0.052866,70.542
10,0.89742,-0.1,-0.5,0.041045,126.07
12,0.89963,-0.1,-0.5,0.033128,182.31
14,0.89971,-0.1,-0.5,0.029669,199.71
2,0.93623,-0.1,-0.5,0.1107,21.271
4,0.90976,-0.1,-0.5,0.10141,28.132
6,0.90888,-0.1,-0.5,0.063921,54.711
8,0.90919,-0.1,-0.5,0.049116,92.447
10,0.90655,-0.1,-0.5,0.038825,162.94
12,0.90849,-0.1,-0.5,0.030256,210.43
14,0.90889,-0.1,-0.5,0.025712,238
2,0.94783,-0.1,-0.5,0.089989,29.482
4,0.91943,-0.1,-0.5,0.090608,30.769
6,0.91963,-0.1,-0.5,0.057065,69.103
8,0.91844,-0.1,-0.5,0.044069,111.61
10,0.91875,-0.1,-0.5,0.031307,160.69
12,0.918,-0.1,-0.5,0.027815,267.99
14,0.91775,-0.1,-0.5,0.024036,372.76
2,0.93045,-0.1,-0.5,0.12109,18.925
4,0.92995,-0.1,-0.5,0.078684,42.818
6,0.92951,-0.1,-0.5,0.049295,88.919
8,0.92926,-0.1,-0.5,0.038692,176.62
10,0.92882,-0.1,-0.5,0.028492,244.77
12,0.92852,-0.1,-0.5,0.023786,314.56
14,0.9274,-0.1,-0.5,0.021357,441.17
2,0.93979,-0.1,-0.5,0.10362,23.681
4,0.93965,-0.1,-0.5,0.068623,54.497
6,0.93942,-0.1,-0.5,0.041595,110.45
8,0.93903,-0.1,-0.5,0.033327,195.61
10,0.93985,-0.1,-0.5,0.023593,330.98
12,0.93887,-0.1,-0.5,0.020591,446.66
14,0.93817,-0.1,-0.5,0.018383,630.76
2,0.9498,-0.1,-0.5,0.087418,30.881
4,0.94939,-0.1,-0.5,0.057393,72.487
6,0.9495,-0.1,-0.5,0.036008,140.73
8,0.94827,-0.1,-0.5,0.0276,241.03
10,0.94805,-0.1,-0.5,0.019548,329.47
12,0.94737,-0.1,-0.5,0.017624,521.22
14,0.9488,-0.1,-0.5,0.015489,827.92
2,0.95999,-0.1,-0.5,0.070674,45.026
4,0.95983,-0.1,-0.5,0.044678,94.395
6,0.95989,-0.1,-0.5,0.028134,189.33
8,0.95795,-0.1,-0.5,0.023369,351.32
10,0.95895,-0.1,-0.5,0.016093,601.2
12,0.95958,-0.1,-0.5,0.013691,1018.2
14,0.95741,-0.1,-0.5,0.01296,744.97
2,0.9605,0,-0.5,0.071681,54.134
4,0.92797,0,-0.5,0.08232,55.772
6,0.90448,0,-0.5,0.070038,65.25
8,0.89453,0,-0.5,0.056897,97.02
10,0.8519,0,-0.5,0.05893,67.2
12,0.84617,0,-0.5,0.051907,69.406
